hid,pid,sample_geo,ptotals,prtotals,pworker,rpworker,rpage,rpsex
8197,2,1002,1,1,1,1,13,1
8244,1,2103,1,1,1,1,9,1
8244,2,2103,1,1,1,1,7,2
8244,3,2103,1,1,2,2,3,1
8244,4,2103,1,1,2,2,2,2
8322,1,2600,1,1,2,2,7,1
8322,2,2600,1,1,2,2,5,2
8333,1,1504,1,1,1,1,10,2
8333,2,1504,1,1,1,1,10,1
8333,3,1504,1,1,1,1,4,1
8390,1,1902,1,1,2,2,10,2
8390,2,1902,1,1,1,1,10,1
8390,3,1902,1,1,2,2,4,2
8390,4,1902,1,1,2,2,3,1
8408,1,101,1,1,2,2,11,1
8466,1,1301,1,1,1,1,9,1
8478,1,2102,1,1,1,1,10,1
8478,2,2102,1,1,2,2,8,2
8478,3,2102,1,1,2,2,2,1
8482,1,1201,1,1,1,1,13,2
8508,1,1001,1,1,2,2,18,2
8590,1,1302,1,1,1,1,9,1
8590,2,1302,1,1,2,2,9,2
8590,3,1302,1,1,2,2,5,1
8628,1,1404,1,1,1,1,8,1
8628,2,1404,1,1,2,2,8,2
8628,3,1404,1,1,2,2,2,1
8628,4,1404,1,1,2,2,2,2
8628,5,1404,1,1,2,2,1,2
8629,1,1202,1,1,2,2,13,2
8629,2,1202,1,1,2,2,14,1
8654,1,305,1,1,2,2,11,2
8654,2,305,1,1,2,2,3,2
8659,1,1903,1,1,1,1,10,1
8659,2,1903,1,1,1,1,10,2
8659,3,1903,1,1,1,1,5,1
8659,4,1903,1,1,2,2,13,2
8684,1,800,1,1,2,2,13,2
8684,2,800,1,1,1,1,12,1
8731,1,2104,1,1,2,2,15,1
8731,2,2104,1,1,1,1,14,2
8740,1,2104,1,1,2,2,18,2
8788,1,1402,1,1,1,1,9,2
8788,2,1402,1,1,1,1,9,1
8788,3,1402,1,1,2,2,2,1
8788,4,1402,1,1,2,2,2,2
8792,1,1504,1,1,1,1,11,1
8792,2,1504,1,1,2,2,11,2
8792,3,1504,1,1,2,2,4,2
8848,1,1101,1,1,1,1,13,2
8911,1,1102,1,1,1,1,10,2
8911,2,1102,1,1,1,1,11,1
8911,3,1102,1,1,2,2,3,1
8912,1,703,1,1,2,2,18,1
8953,1,305,1,1,1,1,9,2
8953,2,305,1,1,1,1,8,1
8953,3,305,1,1,2,2,2,1
8953,4,305,1,1,2,2,1,1
9044,1,2102,1,1,2,2,17,1
9053,1,1501,1,1,1,1,13,1
9053,2,1501,1,1,2,2,12,2
9104,1,1302,1,1,1,1,12,1
9104,2,1302,1,1,1,1,10,2
9104,3,1302,1,1,2,2,3,2
9104,4,1302,1,1,2,2,3,1
9104,5,1302,1,1,2,2,18,2
9115,1,1203,1,1,1,1,10,2
9115,2,1203,1,1,2,2,11,1
9115,3,1203,1,1,1,1,6,1
9115,4,1203,1,1,2,2,5,2
9186,1,1700,1,1,1,1,11,2
9211,1,906,1,1,1,1,12,1
9211,2,906,1,1,1,1,8,2
9211,3,906,1,1,2,2,2,1
9211,4,906,1,1,2,2,4,1
9211,5,906,1,1,2,2,4,2
9245,1,1003,1,1,2,2,13,2
9293,1,903,1,1,1,1,12,1
9326,1,1402,1,1,2,2,11,2
9326,2,1402,1,1,1,1,12,1
9326,3,1402,1,1,2,2,2,1
9345,1,1205,1,1,2,2,16,1
9345,2,1205,1,1,2,2,16,2
9372,1,304,1,1,2,2,10,2
9415,1,701,1,1,2,2,16,1
9415,2,701,1,1,1,1,12,2
9415,3,701,1,1,1,1,7,2
9415,4,701,1,1,2,2,1,2
9444,1,1205,1,1,2,2,13,1
9444,2,1205,1,1,1,1,13,2
9521,1,1301,1,1,1,1,6,1
9521,2,1301,1,1,1,1,6,2
9538,1,1102,1,1,1,1,12,1
9538,2,1102,1,1,2,2,11,2
9538,3,1102,1,1,2,2,4,2
9538,4,1102,1,1,2,2,4,2
9572,1,902,1,1,1,1,12,2
9572,2,902,1,1,2,2,4,2
9580,1,2001,1,1,2,2,13,2
9621,1,1600,1,1,2,2,12,1
9621,2,1600,1,1,1,1,12,2
9659,1,702,1,1,1,1,9,2
9659,2,702,1,1,1,1,4,1
9659,3,702,1,1,2,2,2,1
9663,1,1700,1,1,1,1,11,1
9663,2,1700,1,1,1,1,8,2
9663,3,1700,1,1,2,2,3,1
9663,4,1700,1,1,2,2,2,1
9663,5,1700,1,1,1,1,11,2
9663,6,1700,1,1,2,2,1,2
9680,1,1403,1,1,1,1,8,1
9680,2,1403,1,1,2,2,8,2
9680,3,1403,1,1,2,2,1,2
9765,1,305,1,1,1,1,10,2
9765,2,305,1,1,1,1,10,1
9765,3,305,1,1,2,2,4,2
9765,4,305,1,1,2,2,3,1
9903,1,1003,1,1,1,1,11,1
9903,2,1003,1,1,1,1,10,2
9903,3,1003,1,1,2,2,4,2
9978,1,1301,1,1,1,1,7,2
9978,2,1301,1,1,2,2,3,1
9978,3,1301,1,1,2,2,3,1
9978,4,1301,1,1,2,2,3,1
10089,1,302,1,1,2,2,17,2
10105,1,800,1,1,1,1,12,2
10226,1,1402,1,1,1,1,8,1
10232,1,1902,1,1,2,2,18,2
10248,1,2201,1,1,1,1,7,2
10394,1,1404,1,1,1,1,10,2
10394,2,1404,1,1,1,1,10,1
10394,3,1404,1,1,2,2,3,1
10394,4,1404,1,1,2,2,3,1
10394,5,1404,1,1,2,2,3,1
10394,6,1404,1,1,2,2,2,1
10417,1,1600,1,1,2,2,12,1
10417,2,1600,1,1,2,2,11,2
10450,1,902,1,1,1,1,13,1
10450,2,902,1,1,2,2,12,2
10522,1,1001,1,1,2,2,17,2
10587,1,702,1,1,2,2,15,2
10587,2,702,1,1,1,1,12,2
10587,3,702,1,1,2,2,18,2
10587,4,702,1,1,1,1,7,1
10587,5,702,1,1,2,2,10,1
10587,6,702,1,1,1,1,6,1
10587,7,702,1,1,2,2,6,2
10670,1,1402,1,1,1,1,7,2
10670,2,1402,1,1,2,2,3,1
10670,3,1402,1,1,2,2,2,1
10670,4,1402,1,1,2,2,1,1
10702,1,501,1,1,2,2,9,2
10702,2,501,1,1,2,2,4,2
10702,3,501,1,1,2,2,1,2
10702,4,501,1,1,2,2,1,1
10761,1,1901,1,1,1,1,10,1
10761,2,1901,1,1,1,1,10,2
10761,3,1901,1,1,1,1,6,1
10761,4,1901,1,1,2,2,5,1
10761,5,1901,1,1,2,2,4,1
10761,6,1901,1,1,2,2,4,1
10805,1,1302,1,1,2,2,17,2
10962,1,1504,1,1,2,2,4,2
11090,1,1204,1,1,2,2,14,1
11090,2,1204,1,1,2,2,14,2
11161,1,1903,1,1,1,1,10,1
11161,2,1903,1,1,2,2,9,2
11161,3,1903,1,1,2,2,3,2
11161,4,1903,1,1,2,2,3,2
11168,1,701,1,1,2,2,17,2
11168,2,701,1,1,1,1,12,2
11168,3,701,1,1,1,1,12,1
11169,1,1904,1,1,1,1,11,2
11169,2,1904,1,1,1,1,11,1
11201,1,1302,1,1,2,2,11,1
11201,2,1302,1,1,2,2,8,2
11201,3,1302,1,1,1,1,5,1
11201,4,1302,1,1,2,2,4,1
11201,5,1302,1,1,2,2,3,1
11201,6,1302,1,1,2,2,3,2
11201,7,1302,1,1,2,2,1,2
11201,8,1302,1,1,2,2,1,1
11224,1,1901,1,1,1,1,13,1
11224,2,1901,1,1,1,1,12,2
11224,3,1901,1,1,1,1,5,1
11224,4,1901,1,1,1,1,4,2
11245,1,2001,1,1,2,2,4,1
11251,1,2202,1,1,2,2,17,2
11270,1,702,1,1,2,2,11,2
11270,2,702,1,1,2,2,3,2
11334,1,304,1,1,1,1,11,1
11334,2,304,1,1,2,2,11,2
11334,3,304,1,1,2,2,4,1
11335,1,1904,1,1,1,1,6,1
11335,2,1904,1,1,2,2,1,1
11335,3,1904,1,1,2,2,3,1
11335,4,1904,1,1,2,2,2,1
11335,5,1904,1,1,1,1,6,2
11364,1,601,1,1,1,1,7,1
11364,2,601,1,1,1,1,7,2
11506,1,2102,1,1,2,2,10,1
11554,1,1403,1,1,2,2,9,2
11554,2,1403,1,1,1,1,9,1
11554,3,1403,1,1,2,2,2,1
11554,4,1403,1,1,2,2,2,2
11567,1,1402,1,1,2,2,18,1
11570,1,1901,1,1,1,1,7,2
11570,2,1901,1,1,1,1,9,1
11570,3,1901,1,1,2,2,2,2
11570,4,1901,1,1,2,2,1,1
11570,5,1901,1,1,2,2,13,2
11577,1,1101,1,1,2,2,5,2
11680,1,1600,1,1,2,2,15,2
11680,2,1600,1,1,2,2,15,1
11733,1,2500,1,1,1,1,8,1
11733,2,2500,1,1,2,2,10,2
11762,1,2001,1,1,1,1,12,1
11762,2,2001,1,1,1,1,10,2
