hid,sample_geo,groupquarter,groupquarter_dummy,groupquarter_old
2008001198257,818,1,1,1
2008001200810,300,1,1,1
2008001201051,200,1,1,2
2008001204258,700,1,1,2
2008001205230,600,1,1,1
2008001205732,812,1,1,1
2008001207580,1000,1,1,1
2008001207918,400,1,1,1
2008001209066,200,1,1,2
2008001210199,400,1,1,1
2008001211338,816,1,1,2
2008001213640,819,1,1,1
2008001216153,817,1,1,1
2008001218331,502,1,1,1
2008001218845,103,1,1,1
2008001219116,101,1,1,1
2008001219612,905,1,1,1
2008001220242,905,1,1,1
2008001220622,1000,1,1,1
2008001221681,812,1,1,2
2008001222224,818,1,1,2
2008001222936,502,1,1,1
2008001222955,819,1,1,1
2008001224729,803,1,1,2
