hid,sample_geo,gqtype,gqrtotals,gqtotals
770907,105,1,1,1
771055,302,2,1,1
771435,906,1,1,1
771568,300,1,1,1
772490,904,2,1,1
773393,1101,1,1,1
774550,302,2,1,1
774694,300,1,1,1
774736,301,1,1,1
774790,104,1,1,1
775077,1500,2,1,1
775170,301,2,1,1
775986,300,1,1,1
776714,700,1,1,1
777919,303,1,1,1
778908,1101,2,1,1
779419,1300,2,1,1
780053,1100,1,1,1
780538,905,1,1,1
781269,103,2,1,1
781386,101,2,1,1
781694,1100,1,1,1
782306,300,1,1,1
782515,1300,2,1,1
783670,100,1,1,1
785270,1500,1,1,1
786689,300,1,1,1
786789,302,2,1,1
787925,300,1,1,1
788216,904,1,1,1
788589,900,2,1,1
789330,904,2,1,1
789423,1300,2,1,1
790223,1300,2,1,1
791143,905,2,1,1
792163,1300,1,1,1
792192,903,2,1,1
793276,901,2,1,1
794535,104,2,1,1
796409,1100,1,1,1
796777,103,2,1,1
797051,901,2,1,1
797581,100,2,1,1
798466,1300,2,1,1
798964,1101,1,1,1
799761,1300,1,1,1
800840,1300,2,1,1
801907,102,1,1,1
802340,1300,2,1,1
802505,905,2,1,1
802644,105,1,1,1
802897,1300,2,1,1
803371,904,1,1,1
804089,300,1,1,1
804825,905,2,1,1
805741,104,2,1,1
806979,905,1,1,1
807279,901,1,1,1
807963,104,1,1,1
808362,104,2,1,1
808559,500,1,1,1
809016,904,2,1,1
810742,302,2,1,1
812096,1101,2,1,1
812526,905,1,1,1
813325,903,2,1,1
814172,700,2,1,1
814493,1101,2,1,1
814796,105,2,1,1
814964,700,1,1,1
815417,303,2,1,1
816356,1101,2,1,1
816573,300,2,1,1
816979,105,1,1,1
817059,700,2,1,1
817277,901,1,1,1
817606,905,2,1,1
818663,303,1,1,1
819051,300,1,1,1
819566,905,2,1,1
820960,700,2,1,1
821177,903,2,1,1
821770,1300,2,1,1
821814,1101,2,1,1
821901,302,2,1,1
823329,1300,2,1,1
824352,500,1,1,1
825561,1500,2,1,1
825717,102,1,1,1
826055,100,1,1,1
826403,302,2,1,1
826815,105,1,1,1
827414,1101,2,1,1
827876,301,1,1,1
828654,303,1,1,1
828871,105,1,1,1
828896,104,2,1,1
829826,300,1,1,1
829858,300,1,1,1
832612,300,1,1,1
832746,304,1,1,1
833279,1101,2,1,1
834013,101,1,1,1
836447,302,1,1,1
